,context_word,collocate_count,total_count,MI-score
340,rolled,1,8,10.530471365835906
341,hers,1,10,10.852399460723268
342,dog,8,108,11.285358867999376
343,s,11,1013,14.055458205999747
344,clouds,1,12,11.115433866557062
345,be,1,1097,17.6298191762391
346,least,1,87,13.973414861684635
347,coax,1,5,9.852399460723268
348,cat,1,27,12.285358867999376
349,hide,1,11,10.989902984473204
350,board,1,16,11.530471365835906
351,them,1,505,16.510610943475065
352,pet,1,35,12.659754382780873
353,they,3,697,15.390523710983173
354,not,3,1513,16.50870513733149
355,slowski,1,2,8.530471365835908
356,then,2,484,15.449334603110502
357,even,3,370,14.476890325631063
358,wagging,1,2,8.530471365835908
359,overpowered,1,6,10.115433866557062
360,minded,1,9,10.70039636727822
361,hardly,1,44,12.989902984473204
362,done,1,132,14.57486548519436
363,tumour,1,1,7.530471365835907
364,most,4,265,13.580319915286468
365,ascertained,1,2,8.530471365835908
366,two,1,212,15.258391820399105
367,fought,1,7,10.337826287893511
368,flourishing,1,3,9.115433866557062
369,comfort,1,24,12.115433866557062
370,bit,2,49,12.145181209951115
371,made,3,247,13.89387609669943
372,concealed,1,8,10.530471365835906
373,never,1,445,16.328132891689666
374,see,3,358,14.429324642379008
375,brought,1,62,13.48466767622278
376,laid,1,62,13.48466767622278
377,what,3,636,15.258391820399105
378,gasping,1,1,7.530471365835907
379,delicious,3,15,9.852399460723268
380,which,1,625,16.818183745385358
381,help,1,73,13.720295924715924
382,rushing,1,7,10.337826287893511
383,beating,1,9,10.70039636727822
384,seen,2,109,13.298655690612833
385,one,2,703,15.987852244908442
386,close,1,30,12.437361961444427
387,dear,2,295,14.735042510085112
388,popped,1,2,8.530471365835908
389,to,18,4972,15.64015694544608
390,trotted,1,6,10.115433866557062
391,ancient,1,28,12.337826287893511
392,ears,1,23,12.05403332189292
393,his,10,1558,14.814022789010213
394,enthusiasm,1,2,8.530471365835908
395,came,2,229,14.36967515393285
396,colloquially,1,1,7.530471365835907
397,many,1,152,14.778398879279493
398,all,3,1275,16.26179039686097
399,come,2,302,14.768876105160984
400,white,1,93,14.069630176943939
401,having,1,83,13.905510797182833
402,weather,1,22,11.989902984473204
403,tail,2,27,11.285358867999376
404,towards,1,78,13.815873584698155
405,up,5,378,13.770785695169616
406,understands,1,3,9.115433866557062
