,Context words,Collocate count,Total count,MI score,Negative,Neutral,Positive
3769,ramoth,3,27,8.929703053377782,0.0,1.0,0.0
1993,perfected,3,12,7.759778051935471,0.0,0.0,1.0
4389,hiss,3,13,7.8752552693554065,0.0,1.0,0.0
4664,circumcised,3,44,9.634247169851612,0.0,1.0,0.0
2239,disobedient,3,15,8.081706146822834,0.0,1.0,0.0
1976,renewed,3,8,7.174815551214314,0.0,1.0,0.0
1957,perizzites,2,18,8.929703053377782,0.0,1.0,0.0
1041,heartily,2,2,5.75977805193547,0.0,1.0,0.0
3827,disperse,2,9,7.929703053377782,0.0,1.0,0.0
4342,jahaz,2,5,7.081706146822833,0.0,1.0,0.0
4864,wailing,2,16,8.75977805193547,0.0,1.0,0.0
523,zelophehad,2,11,8.219209670572768,0.0,1.0,0.0
4650,storm,2,21,9.15209547471423,0.0,1.0,0.0
992,spakest,2,16,8.75977805193547,0.0,1.0,0.0
2982,ethiopian,2,8,7.759778051935471,0.0,1.0,0.0
1959,ambassador,2,6,7.344740552656626,0.0,1.0,0.0
2855,filleth,2,10,8.081706146822834,0.0,1.0,0.0
3962,canaanite,2,14,8.567132973993075,0.0,1.0,0.0
520,sheweth,2,25,9.403634241710195,0.0,1.0,0.0
4558,doer,2,8,7.759778051935471,0.0,1.0,0.0
519,sheepcote,2,2,5.75977805193547,0.0,1.0,0.0
4002,pisgah,2,8,7.759778051935471,0.0,1.0,0.0
1392,descending,2,8,7.759778051935471,0.0,1.0,0.0
1036,cloudy,2,7,7.567132973993075,0.0,1.0,0.0
2974,suppose,2,11,8.219209670572768,0.0,1.0,0.0
2860,tops,2,16,8.75977805193547,0.0,0.0,1.0
176,reading,2,8,7.759778051935471,0.0,1.0,0.0
1184,robbers,2,13,8.460217770076563,0.0,1.0,0.0
2849,lewdness,2,19,9.007705565379055,0.0,1.0,0.0
4561,hardening,2,1,4.75977805193547,0.0,1.0,0.0
3010,approveth,2,1,4.75977805193547,0.0,1.0,0.0
173,meddle,2,11,8.219209670572768,0.0,1.0,0.0
531,outcasts,2,7,7.567132973993075,0.0,1.0,0.0
1383,selves,2,9,7.929703053377782,0.0,1.0,0.0
3012,corrupt,2,37,9.96923141756442,0.0,1.0,0.0
4665,longeth,2,4,6.759778051935471,0.0,1.0,0.0
3723,seemed,2,24,9.344740552656626,0.0,1.0,0.0
3738,accusation,2,13,8.460217770076563,1.0,0.0,0.0
