,Context words,Collocate count,Total count,MI score,Negative,Neutral,Positive
417,wicked,2,25,10.15831147702949,1.0,0.0,0.0
420,creators,2,3,7.099417787975921,0.0,1.0,0.0
229,distressed,2,5,7.836383382142128,1.0,0.0,0.0
425,pagans,2,20,9.836383382142127,0.0,1.0,0.0
428,joins,2,4,7.514455287254766,0.0,1.0,0.0
374,tower,2,1,5.514455287254765,0.0,1.0,0.0
1718,scourge,2,1,5.514455287254765,0.0,1.0,0.0
226,fish,2,6,8.099417787975922,0.0,1.0,0.0
433,think,2,61,11.445192624817652,0.0,1.0,0.0
1811,generous,2,7,8.32181020931237,0.0,0.0,1.0
1812,first,2,44,10.973886905892062,0.0,1.0,0.0
221,dead,2,55,11.295815000779426,1.0,0.0,0.0
235,enforce,2,8,8.514455287254764,0.0,1.0,0.0
406,vilest,2,2,6.514455287254766,0.0,1.0,0.0
405,blameworthy,2,2,6.514455287254766,1.0,0.0,0.0
404,adds,2,3,7.099417787975921,0.0,1.0,0.0
240,mislead,2,8,8.514455287254764,0.0,1.0,0.0
403,dig,2,1,5.514455287254765,0.0,1.0,0.0
245,opposite,2,5,7.836383382142128,0.0,1.0,0.0
1729,therefor,2,4,7.514455287254766,0.0,1.0,0.0
1800,warn,2,30,10.421345882863283,1.0,0.0,0.0
249,publicly,2,4,7.514455287254766,0.0,1.0,0.0
250,law,2,36,10.684380288697078,0.0,1.0,0.0
251,standest,2,4,7.514455287254766,0.0,1.0,0.0
1732,ready,2,15,9.421345882863283,0.0,0.0,1.0
1733,decided,2,7,8.32181020931237,0.0,1.0,0.0
256,distinction,2,4,7.514455287254766,0.0,1.0,0.0
381,pleasure,2,24,10.099417787975922,0.0,0.0,1.0
1740,guilty,2,16,9.514455287254766,1.0,0.0,0.0
112,advanced,2,2,6.514455287254766,0.0,0.0,1.0
544,cave,2,8,8.514455287254764,0.0,1.0,0.0
693,secure,2,21,9.906772710033525,0.0,0.0,1.0
1868,lights,2,2,6.514455287254766,0.0,1.0,0.0
689,subjected,2,11,8.973886905892064,0.0,1.0,0.0
687,still,2,11,8.973886905892064,0.0,1.0,0.0
1605,condition,2,5,7.836383382142128,0.0,1.0,0.0
759,forsake,2,3,7.099417787975921,0.0,1.0,0.0
1570,tell,2,44,10.973886905892062,0.0,1.0,0.0
1871,whilst,2,7,8.32181020931237,0.0,1.0,0.0
1568,forty,2,4,7.514455287254766,0.0,1.0,0.0
1869,enjoying,2,2,6.514455287254766,0.0,0.0,1.0
765,bodies,2,15,9.421345882863283,0.0,1.0,0.0
769,acceptable,2,6,8.099417787975922,0.0,0.0,1.0
772,blessing,2,14,9.32181020931237,0.0,0.0,1.0
63,crowds,2,4,7.514455287254766,0.0,1.0,0.0
53,restricts,2,6,8.099417787975922,1.0,0.0,0.0
678,appoint,2,11,8.973886905892064,0.0,1.0,0.0
65,homes,2,37,10.723908652883715,0.0,1.0,0.0
674,maketh,2,4,7.514455287254766,0.0,1.0,0.0
1564,shame,2,25,10.15831147702949,1.0,0.0,0.0
68,humble,2,9,8.684380288697078,0.0,1.0,0.0
69,touch,2,20,9.836383382142127,0.0,1.0,0.0
17,gate,2,12,9.099417787975922,0.0,1.0,0.0
671,women,2,101,12.172666770006561,0.0,1.0,0.0
777,land,2,90,12.00630838358444,0.0,1.0,0.0
667,double,2,7,8.32181020931237,0.0,1.0,0.0
665,suspicious,2,6,8.099417787975922,1.0,0.0,0.0
22,disgrace,2,13,9.214895005395856,1.0,0.0,0.0
1603,brings,2,16,9.514455287254766,0.0,1.0,0.0
73,lot,2,10,8.836383382142127,0.0,1.0,0.0
711,beautiful,2,36,10.684380288697078,0.0,0.0,1.0
720,need,2,16,9.514455287254766,0.0,1.0,0.0
722,contempt,2,5,7.836383382142128,1.0,0.0,0.0
724,barrier,2,7,8.32181020931237,1.0,0.0,0.0
719,humiliated,2,6,8.099417787975922,1.0,0.0,0.0
1881,sorcerer,2,9,8.684380288697078,0.0,1.0,0.0
718,mount,2,22,9.973886905892064,0.0,1.0,0.0
1587,gospel,2,12,9.099417787975922,0.0,1.0,0.0
1586,guilt,2,6,8.099417787975922,1.0,0.0,0.0
42,gratitude,2,14,9.32181020931237,0.0,0.0,1.0
1880,willed,2,22,9.973886905892064,0.0,1.0,0.0
34,backs,2,24,10.099417787975922,1.0,0.0,0.0
1579,misfortune,2,9,8.684380288697078,0.0,1.0,0.0
52,ancients,2,15,9.421345882863283,0.0,1.0,0.0
742,afflicted,2,6,8.099417787975922,1.0,0.0,0.0
1877,achievement,2,11,8.973886905892064,0.0,1.0,0.0
1577,population,2,9,8.684380288697078,0.0,1.0,0.0
705,amply,2,2,6.514455287254766,0.0,1.0,0.0
701,dwelt,2,4,7.514455287254766,0.0,1.0,0.0
700,despair,2,17,9.601918128505105,1.0,0.0,0.0
751,hearer,2,2,6.514455287254766,0.0,1.0,0.0
698,spread,2,22,9.973886905892064,0.0,1.0,0.0
1889,promises,2,6,8.099417787975922,0.0,0.0,1.0
1573,puffed,2,3,7.099417787975921,0.0,1.0,0.0
590,questioned,2,7,8.32181020931237,1.0,0.0,0.0
654,wait,2,35,10.643738304199733,0.0,1.0,0.0
1614,revere,2,1,5.514455287254765,0.0,1.0,0.0
650,rent,2,7,8.32181020931237,0.0,1.0,0.0
1637,door,2,2,6.514455287254766,0.0,1.0,0.0
798,invented,2,11,8.973886905892064,0.0,1.0,0.0
628,forgettest,2,1,5.514455287254765,0.0,1.0,0.0
74,obeyed,2,5,7.836383382142128,0.0,1.0,0.0
801,grantor,2,3,7.099417787975921,0.0,1.0,0.0
9,matters,2,16,9.514455287254766,0.0,0.0,1.0
618,limits,2,20,9.836383382142127,0.0,1.0,0.0
615,commands,2,12,9.099417787975922,0.0,1.0,0.0
98,really,2,26,10.214895005395856,0.0,1.0,0.0
612,conduct,2,35,10.643738304199733,0.0,1.0,0.0
101,coral,2,2,6.514455287254766,0.0,1.0,0.0
8,try,2,13,9.214895005395856,0.0,1.0,0.0
7,complete,2,15,9.421345882863283,0.0,1.0,0.0
633,close,2,14,9.32181020931237,0.0,1.0,0.0
1638,salih,2,11,8.973886905892064,0.0,1.0,0.0
607,charged,2,7,8.32181020931237,1.0,0.0,0.0
1639,smoothly,2,3,7.099417787975921,0.0,1.0,0.0
1897,hearkens,2,2,6.514455287254766,0.0,1.0,0.0
604,implore,2,2,6.514455287254766,0.0,1.0,0.0
806,thrown,2,11,8.973886905892064,0.0,1.0,0.0
807,weight,2,15,9.421345882863283,0.0,1.0,0.0
1641,responsibility,2,5,7.836383382142128,0.0,1.0,0.0
809,containing,2,2,6.514455287254766,0.0,1.0,0.0
594,became,2,26,10.214895005395856,0.0,1.0,0.0
591,enlarges,2,7,8.32181020931237,0.0,1.0,0.0
631,shameful,2,15,9.421345882863283,1.0,0.0,0.0
1590,assured,2,9,8.684380288697078,0.0,0.0,1.0
1625,self,2,34,10.601918128505105,0.0,1.0,0.0
645,nights,2,6,8.099417787975922,0.0,1.0,0.0
641,heed,2,18,9.684380288697078,0.0,1.0,0.0
786,calling,2,9,8.684380288697078,0.0,1.0,0.0
779,dominion,2,35,10.643738304199733,0.0,1.0,0.0
1557,task,2,7,8.32181020931237,0.0,1.0,0.0
1559,star,2,5,7.836383382142128,0.0,1.0,0.0
1623,countenance,2,4,7.514455287254766,0.0,1.0,0.0
84,front,2,8,8.514455287254764,0.0,1.0,0.0
1860,naught,2,13,9.214895005395856,0.0,1.0,0.0
75,helped,2,12,9.099417787975922,0.0,1.0,0.0
1893,honourable,2,13,9.214895005395856,0.0,0.0,1.0
1554,limbs,2,1,5.514455287254765,0.0,1.0,0.0
1622,breast,2,6,8.099417787975922,0.0,1.0,0.0
1626,conceals,2,4,7.514455287254766,0.0,1.0,0.0
1777,entry,1,2,7.514455287254766,0.0,1.0,0.0
1393,reality,1,15,10.421345882863283,0.0,1.0,0.0
1894,finding,1,1,6.514455287254766,0.0,1.0,0.0
1802,trespass,1,3,8.099417787975922,0.0,1.0,0.0
1789,ten,1,9,9.684380288697078,0.0,1.0,0.0
1779,lat,1,1,6.514455287254766,0.0,1.0,0.0
1776,sufficeth,1,4,8.514455287254764,0.0,1.0,0.0
1898,sudden,1,13,10.214895005395856,0.0,1.0,0.0
1788,practised,1,7,9.32181020931237,0.0,1.0,0.0
1882,descendants,1,6,9.099417787975922,0.0,1.0,0.0
1332,vanities,1,13,10.214895005395856,0.0,1.0,0.0
1886,lingered,1,2,7.514455287254766,0.0,1.0,0.0
1792,convincing,1,4,8.514455287254764,0.0,0.0,1.0
1329,eventual,1,1,6.514455287254766,0.0,1.0,0.0
1895,eighth,1,2,7.514455287254766,0.0,1.0,0.0
1394,convulsion,1,2,7.514455287254766,0.0,1.0,0.0
1781,usury,1,7,9.32181020931237,0.0,1.0,0.0
1794,assembly,1,9,9.684380288697078,0.0,1.0,0.0
1892,repented,1,5,8.836383382142127,0.0,1.0,0.0
1395,diminish,1,1,6.514455287254766,0.0,1.0,0.0
1786,legacy,1,2,7.514455287254766,0.0,1.0,0.0
1402,enveloping,1,1,6.514455287254766,0.0,1.0,0.0
1891,entertain,1,5,8.836383382142127,0.0,0.0,1.0
1784,bears,1,5,8.836383382142127,0.0,1.0,0.0
1890,maidens,1,1,6.514455287254766,0.0,1.0,0.0
1330,womb,1,3,8.099417787975922,0.0,1.0,0.0
1851,watchful,1,2,7.514455287254766,0.0,1.0,0.0
1334,fitting,1,19,10.76238280069835,0.0,1.0,0.0
